Layer,C_paired_strat,C_perm_strat,Delta,p_value_raw,p_value_adj,null_z_score,Null_SD,Null_CI_lower,Null_CI_upper,Delta_Illegal_Activity,Delta_HateSpeech,Delta_Malware_Generation,Delta_Physical_Harm,Delta_Fraud,Delta_Sex,Norm_dT_mean,Norm_dT_median,Norm_dT_min,Norm_dT_std,Norm_dV_mean,Norm_dV_median,Norm_dV_min,Norm_dV_std
0,0.0250518,0.00625475,0.018797053,0.004219957800421996,0.22694773052269476,2.6234903477185556,0.007181934161157146,-0.014111426845192909,0.014073162339627713,0.013500545,0.015651897,0.0073815365,0.025007762,0.022694867,0.028545707,1.6029930114746094,1.464969277381897,0.6416494846343994,0.6399232149124146,0.7310336828231812,0.6749101281166077,0.3165436089038849,0.3132841885089874
1,0.023744898,0.003054755,0.020690143,0.0020699793002069977,0.17561824381756183,2.8513856074109736,0.007264377704247267,-0.014306353800930082,0.014177976036444306,0.03226583,0.011137843,0.0077267718,0.00059004314,0.028293893,0.044126485,2.028477430343628,1.8277863264083862,0.7924244403839111,0.7054843306541443,0.9035287499427795,0.848608672618866,0.43587726354599,0.36310434341430664
2,0.028694883,0.0074011856,0.0212937,0.0034699653003469966,0.16157838421615783,2.686749904614367,0.007940283983989875,-0.015567533555440605,0.015529069048352535,0.028304107,0.013677277,0.003571353,0.015387829,0.03113257,0.035689056,2.809311628341675,2.6240758895874023,1.132096529006958,0.8994559645652771,1.0795880556106567,1.0099900960922241,0.5030902028083801,0.42395174503326416
3,0.027022803,0.00872944,0.018293362,0.007949920500794991,0.24302756972430276,2.4145190448781317,0.007591099267212056,-0.01480893911793828,0.014932662644423543,0.02066711,0.01732528,0.009501332,0.007819332,0.024161775,0.030285351,3.1653192043304443,3.049624443054199,1.348312258720398,0.9498472213745117,1.3419482707977295,1.2372649908065796,0.6133486032485962,0.5248029828071594
4,0.011636795,0.009477263,0.002159531,0.3823961760382396,0.966460335396646,0.2943760910246921,0.007446297637332331,-0.014507547044195235,0.01467596318107098,0.003653923,0.0068858666,-0.014151846,-0.014053598,0.015520361,0.015102479,4.801534175872803,4.580084800720215,1.8941706418991089,1.5099915266036987,1.7512474060058594,1.5397847890853882,0.8210150003433228,0.7128262519836426
5,0.004873385,0.012723775,-0.007850389,0.7792322076779232,0.999960000399996,-0.7724573156219177,0.010133717038545709,-0.01987352455034852,0.019953108998015487,-0.037800584,0.0019035996,-0.012463692,-0.0365966,0.045672864,-0.007817924,6.664568901062012,6.358696460723877,2.3931682109832764,2.067814350128174,2.256026029586792,1.9780806303024292,1.0043891668319702,0.9645775556564331
6,0.004913747,0.006725782,-0.0018120351,0.5973940260597395,0.996630033699663,-0.25139167120453726,0.007096055731370252,-0.013825396820902825,0.013918849360197768,-0.024148144,-0.0055696233,0.010474365,-0.010905495,0.013511471,0.0057652155,6.920436859130859,6.611852645874023,2.658078908920288,2.0826926231384277,2.448685884475708,2.1542952060699463,1.0794507265090942,1.0402193069458008
7,0.0059894654,0.002229414,0.003760051,0.25699743002569975,0.9336806631933681,0.6556294345557024,0.005768244733403893,-0.011285430961288511,0.01128016805741936,-0.0070231454,-0.008265913,0.0083322115,0.0053193667,0.010683056,0.01351473,8.41370964050293,8.083030700683594,3.423279285430908,2.4222867488861084,3.1497645378112793,2.903371810913086,1.3725383281707764,1.3013129234313965
8,0.0045859353,0.0037854072,0.0008005283,0.43400565994340057,0.982930170698293,0.1673951008853266,0.004966142298750945,-0.009702894208021461,0.009721249062567945,-0.015749576,-0.00020144926,-0.0057049925,0.011392005,0.003012185,0.0120549975,10.743419647216797,10.29420280456543,4.250845909118652,2.881230354309082,4.090357780456543,3.7898857593536377,1.7505056858062744,1.619144082069397
9,0.0014261456,0.006793709,-0.0053675636,0.7979520204797952,0.999790002099979,-0.8363284901594489,0.006389184384564688,-0.012549058464355767,0.012350024189800007,-0.028602991,-0.0120525425,0.0045104185,-0.0055389954,0.01828299,-0.00880426,11.733226776123047,11.070138931274414,4.994351863861084,3.168477773666382,5.272164821624756,4.811400890350342,2.1744160652160645,2.06058931350708
